StoreKey,GeographyKey,StoreManager,StoreType,StoreName,Status,OpenDate,CloseDate,EntityKey,StorePhone,StoreFax,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,EmployeeKey
46,827,136,Store,Contoso Fond du Lac Store,On,2007-12-07,2090-12-31,680,992-555-0194,992-555-0194,Not Yet Closed,17,460,2009-06-16 00:00:00,136
47,878,75,Store,Contoso Milwaukee No.1 Store,On,2004-01-18,2090-12-31,681,818-555-0192,818-555-0192,Not Yet Closed,25,700,2009-06-17 00:00:00,75
48,878,75,Store,Contoso Milwaukee No.2 Store,Off,2004-02-09,2009-05-12,682,399-555-0176,399-555-0176,Relocation,25,700,2009-06-18 00:00:00,75
49,878,75,Store,Contoso Milwaukee No.3 Store,On,2004-04-02,2090-12-31,683,778-555-0141,778-555-0141,Not Yet Closed,26,680,2009-06-16 00:00:00,75
50,949,76,Store,Contoso Waukesha No.1 Store,On,2004-04-19,2090-12-31,684,299-555-0113,299-555-0113,Not Yet Closed,19,455,2009-06-17 00:00:00,76
51,918,87,Store,Contoso Racine No.1 Store,On,2004-05-15,2090-12-31,685,846-555-0157,846-555-0157,Not Yet Closed,33,560,2009-06-16 00:00:00,87
52,806,137,Store,Contoso Burlington Store,On,2004-06-17,2090-12-31,686,639-555-0164,639-555-0164,Not Yet Closed,47,1125,2009-06-17 00:00:00,137
53,821,138,Store,Contoso East Troy Store,On,2004-08-18,2090-12-31,687,191-555-0112,191-555-0112,Not Yet Closed,22,500,2009-06-18 00:00:00,138
54,949,76,Store,Contoso Waukesha No.2 Store,On,2004-08-20,2090-12-31,688,669-555-0150,669-555-0150,Not Yet Closed,17,462,2009-06-16 00:00:00,76
55,835,77,Store,Contoso Germantown Store,On,2004-09-02,2090-12-31,689,712-555-0119,712-555-0119,Not Yet Closed,25,700,2009-06-17 00:00:00,77
57,913,79,Store,Contoso Port Washington Store,On,2004-11-25,2090-12-31,691,910-555-0116,910-555-0116,Not Yet Closed,26,680,2009-06-17 00:00:00,79
58,928,80,Store,Contoso Sheboygan Store,On,2004-12-26,2090-12-31,692,319-555-0139,319-555-0139,Not Yet Closed,19,455,2009-06-18 00:00:00,80
59,871,81,Store,Contoso Manitowoc Store,On,2004-04-27,2090-12-31,693,714-555-0138,714-555-0138,Not Yet Closed,33,560,2009-06-16 00:00:00,81
60,870,82,Store,Contoso Madison Store,On,2004-02-28,2090-12-31,694,499-555-0125,499-555-0125,Not Yet Closed,47,1125,2009-06-17 00:00:00,82
61,898,83,Store,Contoso Oregon Store,On,2004-03-29,2090-12-31,695,932-555-0161,932-555-0161,Not Yet Closed,22,500,2009-06-16 00:00:00,83
62,934,84,Store,Contoso Stoughton Store,Off,2004-04-30,2009-07-12,696,602-555-0194,602-555-0194,Relocation,17,462,2009-06-17 00:00:00,84
63,822,85,Store,Contoso Edgerton Store,On,2004-05-31,2090-12-31,697,679-555-0113,679-555-0113,Not Yet Closed,25,700,2009-06-18 00:00:00,85
64,828,86,Store,Contoso Fort Atkinson Store,On,2004-06-01,2090-12-31,698,688-555-0192,688-555-0192,Not Yet Closed,26,680,2009-06-16 00:00:00,86
65,918,87,Store,Contoso Racine No.2 Store,On,2009-07-02,2090-12-31,699,518-555-0199,518-555-0199,Not Yet Closed,19,455,2009-06-17 00:00:00,87
66,849,88,Store,Contoso Houston No.1 Store,On,2004-08-03,2090-12-31,700,901-555-0125,901-555-0125,Not Yet Closed,33,560,2009-06-16 00:00:00,88
67,849,88,Store,Contoso Houston No.2 Store,On,2004-03-11,2090-12-31,701,434-555-0133,434-555-0133,Not Yet Closed,47,1125,2009-06-17 00:00:00,88
68,849,88,Store,Contoso Houston No.3 Store,On,2004-07-02,2090-12-31,702,226-555-0197,226-555-0197,Not Yet Closed,22,500,2009-06-18 00:00:00,88
69,849,88,Store,Contoso Houston No.4 Store,On,2004-08-03,2090-12-31,703,623-555-0155,623-555-0155,Not Yet Closed,17,460,2009-06-16 00:00:00,88
70,876,89,Store,Contoso Midland Store,On,2003-09-12,2090-12-31,704,611-555-0116,611-555-0116,Not Yet Closed,25,700,2009-06-17 00:00:00,89
71,924,90,Store,Contoso Russellville Store,On,2007-11-05,2090-12-31,705,793-555-0179,793-555-0179,Not Yet Closed,25,700,2009-06-16 00:00:00,90
72,879,91,Store,Contoso Minden Store,On,2004-11-06,2090-12-31,706,612-555-0171,612-555-0171,Not Yet Closed,26,680,2009-06-17 00:00:00,91
73,929,92,Store,Contoso Shreveport Store,On,2004-10-17,2090-12-31,707,522-555-0147,522-555-0147,Not Yet Closed,19,455,2009-06-18 00:00:00,92
74,872,93,Store,Contoso Marshall Store,On,2004-02-18,2090-12-31,708,248-555-0134,248-555-0134,Not Yet Closed,33,560,2009-06-16 00:00:00,93
75,866,94,Store,Contoso Longview Store,On,2004-02-19,2090-12-31,709,309-555-0129,309-555-0129,Not Yet Closed,47,1125,2009-06-17 00:00:00,94
76,798,95,Store,Contoso Beaumont No.1 Store,On,2004-02-20,2090-12-31,710,896-555-0168,896-555-0168,Not Yet Closed,22,500,2009-06-16 00:00:00,95
77,897,96,Store,Contoso Orange Store,On,2004-02-21,2090-12-31,711,999-555-0155,999-555-0155,Not Yet Closed,17,462,2009-06-17 00:00:00,96
78,798,95,Store,Contoso Beaumont No.2 Store,On,2004-02-22,2090-12-31,712,808-555-0172,808-555-0172,Not Yet Closed,25,700,2009-06-18 00:00:00,95
79,579,97,Store,Contoso Baytown Store,On,2004-01-17,2090-12-31,713,119-555-0117,119-555-0117,Not Yet Closed,26,680,2009-06-16 00:00:00,97
80,858,98,Store,Contoso La Porte Store,On,2004-02-18,2090-12-31,714,420-555-0173,420-555-0173,Not Yet Closed,26,680,2009-06-17 00:00:00,98
81,793,99,Store,Contoso Bacliff Store,On,2004-03-19,2090-12-31,715,143-555-0173,143-555-0173,Not Yet Closed,19,455,2009-06-16 00:00:00,99
82,939,100,Store,Contoso Texas City Store,On,2004-04-20,2090-12-31,716,815-555-0138,815-555-0138,Not Yet Closed,33,560,2009-06-17 00:00:00,100
83,906,101,Store,Contoso Pasadena Store,On,2004-05-21,2090-12-31,717,314-555-0113,314-555-0113,Not Yet Closed,47,1125,2009-06-18 00:00:00,101
84,851,102,Store,Contoso Humble Store,Off,2004-06-22,2009-02-12,718,373-555-0137,373-555-0137,Relocation,22,500,2009-06-16 00:00:00,102
85,933,103,Store,Contoso Spring Store,On,2004-07-23,2090-12-31,719,153-555-0186,153-555-0186,Not Yet Closed,17,462,2009-06-17 00:00:00,103
86,791,104,Store,Contoso Austin Store,On,2004-08-24,2090-12-31,720,172-555-0130,172-555-0130,Not Yet Closed,25,700,2009-06-16 00:00:00,104
87,925,105,Store,Contoso San Antonio Store,On,2004-08-25,2090-12-31,721,970-555-0118,970-555-0118,Not Yet Closed,26,680,2009-06-17 00:00:00,105
88,453,106,Store,Contoso Cedar Park Store,On,2004-10-26,2090-12-31,722,577-555-0185,577-555-0185,Not Yet Closed,19,455,2009-06-18 00:00:00,106
89,923,107,Store,Contoso Round Rock Store,On,2004-11-27,2090-12-31,723,373-555-0142,373-555-0142,Not Yet Closed,33,560,2009-06-16 00:00:00,107
90,815,108,Store,Contoso Dallas Store,On,2008-12-02,2090-12-31,724,986-555-0177,986-555-0177,Not Yet Closed,47,1125,2009-06-17 00:00:00,108
91,834,109,Store,Contoso Georgetown Store,On,2003-01-29,2090-12-31,725,777-555-0141,777-555-0141,Not Yet Closed,22,500,2009-06-16 00:00:00,109
92,845,110,Store,Contoso Hillsboro Store,On,2003-01-30,2090-12-31,726,818-555-0128,818-555-0128,Not Yet Closed,17,460,2009-06-17 00:00:00,110
93,787,111,Store,Contoso Arlington Store,On,2003-08-31,2090-12-31,727,204-555-0115,204-555-0115,Not Yet Closed,25,700,2009-06-18 00:00:00,111
94,837,112,Store,Contoso Grand Prairie Store,On,2003-02-03,2090-12-31,728,845-555-0184,845-555-0184,Not Yet Closed,25,700,2009-06-16 00:00:00,112
95,819,113,Store,Contoso Desoto Store,On,2003-03-31,2090-12-31,729,935-555-0116,935-555-0116,Not Yet Closed,26,680,2009-06-17 00:00:00,113
96,919,114,Store,Contoso Richardson Store,On,2003-02-01,2090-12-31,730,208-555-0114,208-555-0114,Not Yet Closed,19,455,2009-06-16 00:00:00,114
97,863,115,Store,Contoso Lewisville Store,On,2003-04-02,2090-12-31,731,920-555-0177,920-555-0177,Not Yet Closed,33,560,2009-06-17 00:00:00,115
98,817,116,Store,Contoso Denton Store,On,2003-05-03,2090-12-31,732,913-555-0184,913-555-0184,Not Yet Closed,47,1125,2009-06-18 00:00:00,116
99,831,117,Store,Contoso Fort Worth Store,On,2003-06-04,2090-12-31,733,148-555-0145,148-555-0145,Not Yet Closed,22,500,2009-06-16 00:00:00,117
100,910,118,Store,Contoso Plano Store,On,2003-07-05,2090-12-31,734,148-555-0145,148-555-0145,Not Yet Closed,17,462,2009-06-17 00:00:00,118
101,875,119,Store,Contoso Miami No.1 Store,On,2003-08-06,2090-12-31,735,199-555-0117,199-555-0117,Not Yet Closed,17,462,2009-06-16 00:00:00,119
102,875,119,Store,Contoso Miami No.2 Store,On,2003-09-07,2090-12-31,736,391-555-0138,391-555-0138,Not Yet Closed,25,700,2009-06-17 00:00:00,119
103,853,120,Store,Contoso Jacksonville Store,On,2003-10-08,2090-12-31,737,454-555-0119,454-555-0119,Not Yet Closed,26,680,2009-06-18 00:00:00,120
104,937,121,Store,Contoso Tallahassee No.1 Store,On,2003-11-09,2090-12-31,738,200-555-0117,200-555-0117,Not Yet Closed,19,455,2009-06-16 00:00:00,121
105,937,121,Store,Contoso Tallahassee No.2 Store,On,2003-11-29,2090-12-31,739,768-555-0123,768-555-0123,Not Yet Closed,33,560,2009-06-17 00:00:00,121
107,926,123,Store,Contoso Sebring Store,On,2003-02-12,2090-12-31,741,166-555-0159,166-555-0159,Not Yet Closed,22,500,2009-06-17 00:00:00,123
108,860,124,Store,Contoso Lakeland Store,On,2003-02-13,2090-12-31,742,477-555-0132,477-555-0132,Not Yet Closed,17,460,2009-06-18 00:00:00,124
109,830,125,Store,Contoso Fort Lauderdale Store,On,2003-02-14,2090-12-31,743,582-555-0178,582-555-0178,Not Yet Closed,25,700,2009-06-16 00:00:00,125
110,899,126,Store,Contoso Orlando Store,On,2003-02-15,2090-12-31,744,476-555-0119,476-555-0119,Not Yet Closed,25,700,2009-06-17 00:00:00,126
111,938,127,Store,Contoso Tampa Store,On,2003-02-16,2090-12-31,745,531-555-0183,531-555-0183,Not Yet Closed,26,680,2009-06-16 00:00:00,127
112,857,128,Store,Contoso Key West Store,Off,2004-01-12,2009-07-02,746,637-555-0120,637-555-0120,Relocation,19,455,2009-06-17 00:00:00,128
113,807,129,Store,Contoso Cape Canaveral Store,On,2004-02-14,2090-12-31,747,260-555-0119,260-555-0119,Not Yet Closed,33,560,2009-06-18 00:00:00,129
114,782,130,Store,Contoso Albany Store,On,2004-02-12,2090-12-31,748,697-555-0142,697-555-0142,Not Yet Closed,47,1125,2009-06-16 00:00:00,130
115,890,131,Store,Contoso New York No.1 Store,On,2004-03-01,2090-12-31,749,571-555-0179,571-555-0179,Not Yet Closed,22,500,2009-06-17 00:00:00,131
116,922,132,Store,Contoso Rochester No.1 Store,On,2004-04-02,2090-12-31,750,147-555-0179,147-555-0179,Not Yet Closed,17,462,2009-06-16 00:00:00,132
117,890,131,Store,Contoso New York No.2 Store,On,2005-05-15,2090-12-31,751,540-555-0191,540-555-0191,Not Yet Closed,25,700,2009-06-17 00:00:00,131
118,936,133,Store,Contoso Syracuse Store,On,2004-06-16,2090-12-31,752,234-555-0169,234-555-0169,Not Yet Closed,26,680,2009-06-18 00:00:00,133
119,805,134,Store,Contoso Buffalo Store,Off,2004-07-02,2008-09-22,753,185-555-0186,185-555-0186,Store,19,455,2009-06-16 00:00:00,134
120,911,139,Store,Contoso Plattsburgh Store,On,2004-08-18,2090-12-31,754,727-555-0112,727-555-0112,Not Yet Closed,33,560,2009-06-17 00:00:00,139
121,804,140,Store,Contoso Brooklyn Store,On,2004-09-19,2090-12-31,755,158-555-0191,158-555-0191,Not Yet Closed,47,1125,2009-06-16 00:00:00,140
122,902,141,Store,Contoso Oswego Store,On,2004-10-20,2090-12-31,756,785-555-0110,785-555-0110,Not Yet Closed,22,500,2009-06-17 00:00:00,141
123,852,142,Store,Contoso Ithaca Store,On,2004-11-21,2090-12-31,757,361-555-0180,361-555-0180,Not Yet Closed,17,460,2009-06-18 00:00:00,142
124,922,132,Store,Contoso Rochester No.2 Store,On,2004-12-22,2090-12-31,758,510-555-0121,510-555-0121,Not Yet Closed,25,700,2009-06-16 00:00:00,132
125,916,143,Store,Contoso Queens Store,On,2006-01-23,2090-12-31,759,150-555-0194,150-555-0194,Not Yet Closed,25,700,2009-06-17 00:00:00,143
126,823,144,Store,Contoso Elmira Store,On,2004-02-24,2090-12-31,760,139-555-0120,139-555-0120,Not Yet Closed,26,680,2009-06-16 00:00:00,144
127,912,145,Store,Contoso Poestenkill Store,On,2004-01-25,2090-12-31,761,712-555-0113,712-555-0113,Not Yet Closed,19,455,2009-06-17 00:00:00,145
128,943,146,Store,Contoso Trenton No.1 Store,On,2004-03-26,2090-12-31,762,350-555-0167,350-555-0167,Not Yet Closed,33,560,2009-06-18 00:00:00,146
129,943,146,Store,Contoso Trenton No.2 Store,Off,2004-07-27,2008-12-12,763,241-555-0191,241-555-0191,Relocation,47,1125,2009-06-16 00:00:00,146
130,891,147,Store,Contoso Newark No.1 Store,On,2004-08-28,2090-12-31,764,119-555-0192,119-555-0192,Not Yet Closed,22,500,2009-06-17 00:00:00,147
131,891,147,Store,Contoso Newark No.2 Store,On,2004-09-29,2090-12-31,765,200-555-0112,200-555-0112,Not Yet Closed,17,462,2009-06-16 00:00:00,147
132,854,148,Store,Contoso Jersey City Store,On,2004-11-02,2090-12-31,766,205-555-0132,205-555-0132,Not Yet Closed,25,700,2009-06-17 00:00:00,148
133,908,149,Store,Contoso Paterson Store,On,2008-12-03,2090-12-31,767,653-555-0144,653-555-0144,Not Yet Closed,26,680,2009-06-18 00:00:00,149
134,814,150,Store,Contoso Clifton Store,On,2004-01-24,2090-12-31,768,417-555-0154,417-555-0154,Not Yet Closed,26,680,2009-06-16 00:00:00,150
135,820,151,Store,Contoso East Orange Store,On,2004-02-15,2090-12-31,769,935-555-0199,935-555-0199,Not Yet Closed,19,455,2009-06-17 00:00:00,151
136,907,152,Store,Contoso Passaic Store,On,2004-03-16,2090-12-31,770,180-555-0136,180-555-0136,Not Yet Closed,33,560,2009-06-16 00:00:00,152
137,797,153,Store,Contoso Bayonne Store,On,2004-04-17,2090-12-31,771,500-555-0159,500-555-0159,Not Yet Closed,47,1125,2009-06-17 00:00:00,153
138,945,154,Store,Contoso Vineland Store,On,2004-05-18,2090-12-31,772,984-555-0148,984-555-0148,Not Yet Closed,22,500,2009-06-18 00:00:00,154
139,886,155,Store,Contoso New Brunswick Store,On,2004-06-19,2090-12-31,773,533-555-0111,533-555-0111,Not Yet Closed,17,462,2009-06-16 00:00:00,155
140,842,156,Store,Contoso Hackensack Store,On,2004-07-20,2090-12-31,774,352-555-0138,352-555-0138,Not Yet Closed,25,700,2009-06-17 00:00:00,156
141,788,157,Store,Contoso Atlantic City Store,On,2004-08-21,2090-12-31,775,446-555-0118,446-555-0118,Not Yet Closed,26,680,2009-06-16 00:00:00,157
142,880,158,Store,Contoso Montclair Store,On,2004-09-22,2090-12-31,776,955-555-0169,955-555-0169,Not Yet Closed,19,455,2009-06-17 00:00:00,158
143,847,159,Store,Contoso Hoboken Store,On,2004-10-23,2090-12-31,777,110-555-0182,110-555-0182,Not Yet Closed,33,560,2009-06-18 00:00:00,159
144,882,160,Store,Contoso Morristown Store,On,2004-11-24,2090-12-31,778,646-555-0185,646-555-0185,Not Yet Closed,47,1125,2009-06-16 00:00:00,160
145,808,161,Store,Contoso Cape May Store,On,2004-12-02,2090-12-31,779,615-555-0110,615-555-0110,Not Yet Closed,22,500,2009-06-17 00:00:00,161
146,802,162,Store,Contoso Boston Store,On,2004-11-06,2090-12-31,780,615-555-0110,615-555-0110,Not Yet Closed,17,460,2009-06-16 00:00:00,162
147,952,163,Store,Contoso Worcester No.1 Store,On,2004-10-17,2090-12-31,781,441-555-0195,441-555-0195,Not Yet Closed,25,700,2009-06-17 00:00:00,163
148,952,163,Store,Contoso Worcester No.2 Store,Off,2004-02-18,2009-07-12,782,118-555-0110,118-555-0110,Relocation,25,700,2009-06-18 00:00:00,163
149,885,164,Store,Contoso New Bedford Store,On,2004-02-19,2090-12-31,783,965-555-0155,965-555-0155,Not Yet Closed,26,680,2009-06-16 00:00:00,164
150,789,165,Store,Contoso Attleboro Store,On,2004-02-20,2090-12-31,784,589-555-0147,589-555-0147,Not Yet Closed,19,455,2009-06-17 00:00:00,165
151,868,166,Store,Contoso Lowell Store,On,2004-02-21,2090-12-31,785,181-555-0124,181-555-0124,Not Yet Closed,33,560,2009-06-16 00:00:00,166
152,861,167,Store,Contoso Leominster Store,On,2004-02-22,2090-12-31,786,678-555-0110,678-555-0110,Not Yet Closed,47,1125,2009-06-17 00:00:00,167
153,846,168,Store,Contoso Hingham Store,On,2004-01-17,2090-12-31,787,696-555-0157,696-555-0157,Not Yet Closed,22,500,2009-06-18 00:00:00,168
154,917,169,Store,Contoso Quincy Store,On,2004-02-18,2090-12-31,788,870-555-0122,870-555-0122,Not Yet Closed,17,462,2009-06-16 00:00:00,169
155,832,170,Store,Contoso Framingham Store,On,2004-03-19,2090-12-31,789,182-555-0134,182-555-0134,Not Yet Closed,25,700,2009-06-17 00:00:00,170
156,449,171,Store,Contoso Cambridge Store,On,2004-04-20,2090-12-31,790,594-555-0110,594-555-0110,Not Yet Closed,26,680,2009-06-16 00:00:00,171
157,931,172,Store,Contoso Somerville Store,On,2004-05-21,2090-12-31,791,587-555-0114,587-555-0114,Not Yet Closed,26,680,2009-06-17 00:00:00,172
158,844,173,Store,Contoso Haverhill Store,On,2004-06-22,2090-12-31,792,368-555-0113,368-555-0113,Not Yet Closed,19,455,2009-06-18 00:00:00,173
159,869,174,Store,Contoso Lynn Store,On,2004-07-23,2090-12-31,793,869-555-0119,869-555-0119,Not Yet Closed,33,560,2009-06-16 00:00:00,174
160,895,175,Store,Contoso Northampton Store,On,2004-08-24,2090-12-31,794,806-555-0136,806-555-0136,Not Yet Closed,47,1125,2009-06-17 00:00:00,175
161,848,176,Store,Contoso Holyoke Store,On,2004-08-25,2090-12-31,795,819-555-0198,819-555-0198,Not Yet Closed,22,500,2009-06-16 00:00:00,176
162,909,177,Store,Contoso Pittsfield Store,Off,2004-10-26,2009-07-12,796,173-555-0179,173-555-0179,Relocation,17,462,2009-06-17 00:00:00,177
163,826,178,Store,Contoso Falmouth Store,On,2004-11-27,2090-12-31,797,429-555-0137,429-555-0137,Not Yet Closed,25,700,2009-06-18 00:00:00,178
164,914,179,Store,Contoso Provincetown Store,On,2004-12-02,2090-12-31,798,181-555-0156,181-555-0156,Not Yet Closed,26,680,2009-06-16 00:00:00,179
165,883,180,Store,Contoso Nantucket Store,On,2004-11-06,2090-12-31,799,810-555-0178,810-555-0178,Not Yet Closed,19,455,2009-06-17 00:00:00,180
166,795,181,Store,Contoso Bangor Store,On,2004-10-17,2090-12-31,800,201-555-0163,201-555-0163,Not Yet Closed,33,560,2009-06-16 00:00:00,181
167,796,182,Store,Contoso Bar Harbor Store,On,2004-02-18,2090-12-31,801,746-555-0164,746-555-0164,Not Yet Closed,47,1125,2009-06-17 00:00:00,182
168,855,183,Store,Contoso Kennebunkport Store,On,2004-02-19,2090-12-31,802,587-555-0115,587-555-0115,Not Yet Closed,22,500,2009-06-18 00:00:00,183
169,862,184,Store,Contoso Lewiston Store,On,2004-02-20,2090-12-31,803,140-555-0132,140-555-0132,Not Yet Closed,17,460,2009-06-16 00:00:00,184
170,900,185,Store,Contoso Orono Store,On,2004-02-21,2090-12-31,804,309-555-0170,309-555-0170,Not Yet Closed,25,700,2009-06-17 00:00:00,185
171,932,186,Store,Contoso South Portland Store,On,2004-02-22,2090-12-31,805,990-555-0172,990-555-0172,Not Yet Closed,25,700,2009-06-16 00:00:00,186
