DateKey,CalendarYear,CalendarYearLabel,CalendarHalfYearLabel,CalendarQuarterLabel,CalendarMonthLabel,CalendarWeekLabel,CalendarDayOfWeekLabel,FiscalYear,FiscalYearLabel,FiscalHalfYearLabel,FiscalQuarterLabel,FiscalMonthLabel,IsWorkDay,IsHoliday,EuropeSeason,NorthAmericaSeason,AsiaSeason,MonthNumber,CalendarDayOfWeekNumber
2005-02-19,2005,Year 2005,H1,Q1,February,Week 8,Saturday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,6
2005-02-20,2005,Year 2005,H1,Q1,February,Week 9,Sunday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,7
2005-02-21,2005,Year 2005,H1,Q1,February,Week 9,Monday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,1
2005-02-22,2005,Year 2005,H1,Q1,February,Week 9,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,2
2005-02-23,2005,Year 2005,H1,Q1,February,Week 9,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,3
2005-02-24,2005,Year 2005,H1,Q1,February,Week 9,Thursday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,4
2005-02-25,2005,Year 2005,H1,Q1,February,Week 9,Friday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,5
2005-02-26,2005,Year 2005,H1,Q1,February,Week 9,Saturday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,6
2005-02-27,2005,Year 2005,H1,Q1,February,Week 10,Sunday,2005,FiscalYear 2005,H1,Q1,Month 2,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,2,7
2005-02-28,2005,Year 2005,H1,Q1,February,Week 10,Monday,2005,FiscalYear 2005,H1,Q1,Month 2,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,2,1
2005-03-01,2005,Year 2005,H1,Q1,March,Week 10,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,2
2005-03-02,2005,Year 2005,H1,Q1,March,Week 10,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,3
2005-03-03,2005,Year 2005,H1,Q1,March,Week 10,Thursday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,4
2005-03-04,2005,Year 2005,H1,Q1,March,Week 10,Friday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,5
2005-03-05,2005,Year 2005,H1,Q1,March,Week 10,Saturday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,6
2005-03-06,2005,Year 2005,H1,Q1,March,Week 11,Sunday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,7
2005-03-07,2005,Year 2005,H1,Q1,March,Week 11,Monday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,1
2005-03-08,2005,Year 2005,H1,Q1,March,Week 11,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,2
2005-03-09,2005,Year 2005,H1,Q1,March,Week 11,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,3
2005-03-10,2005,Year 2005,H1,Q1,March,Week 11,Thursday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,4
2005-03-11,2005,Year 2005,H1,Q1,March,Week 11,Friday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,5
2005-03-12,2005,Year 2005,H1,Q1,March,Week 11,Saturday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,6
2005-03-13,2005,Year 2005,H1,Q1,March,Week 12,Sunday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,7
2005-03-14,2005,Year 2005,H1,Q1,March,Week 12,Monday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,1
2005-03-15,2005,Year 2005,H1,Q1,March,Week 12,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,2
2005-03-16,2005,Year 2005,H1,Q1,March,Week 12,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,3
2005-03-17,2005,Year 2005,H1,Q1,March,Week 12,Thursday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,4
2005-03-18,2005,Year 2005,H1,Q1,March,Week 12,Friday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,5
2005-03-19,2005,Year 2005,H1,Q1,March,Week 12,Saturday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,6
2005-03-20,2005,Year 2005,H1,Q1,March,Week 13,Sunday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,7
2005-03-21,2005,Year 2005,H1,Q1,March,Week 13,Monday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,1
2005-03-22,2005,Year 2005,H1,Q1,March,Week 13,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,2
2005-03-23,2005,Year 2005,H1,Q1,March,Week 13,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,3
2005-03-24,2005,Year 2005,H1,Q1,March,Week 13,Thursday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,4
2005-03-25,2005,Year 2005,H1,Q1,March,Week 13,Friday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,5
2005-03-26,2005,Year 2005,H1,Q1,March,Week 13,Saturday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,6
2005-03-27,2005,Year 2005,H1,Q1,March,Week 14,Sunday,2005,FiscalYear 2005,H1,Q1,Month 3,WeekEnd,Yes,Spring/Business,Spring/Back to Business,Spring/Back to School,3,7
2005-03-28,2005,Year 2005,H1,Q1,March,Week 14,Monday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,1
2005-03-29,2005,Year 2005,H1,Q1,March,Week 14,Tuesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,2
2005-03-30,2005,Year 2005,H1,Q1,March,Week 14,Wednesday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,3
2005-03-31,2005,Year 2005,H1,Q1,March,Week 14,Thursday,2005,FiscalYear 2005,H1,Q1,Month 3,WorkDay,No,Spring/Business,Spring/Back to Business,Spring/Back to School,3,4
2005-04-01,2005,Year 2005,H1,Q2,April,Week 14,Friday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,5
2005-04-02,2005,Year 2005,H1,Q2,April,Week 14,Saturday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,6
2005-04-03,2005,Year 2005,H1,Q2,April,Week 15,Sunday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,7
2005-04-04,2005,Year 2005,H1,Q2,April,Week 15,Monday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,1
2005-04-05,2005,Year 2005,H1,Q2,April,Week 15,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,2
2005-04-06,2005,Year 2005,H1,Q2,April,Week 15,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,3
2005-04-07,2005,Year 2005,H1,Q2,April,Week 15,Thursday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,4
2005-04-08,2005,Year 2005,H1,Q2,April,Week 15,Friday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,5
2005-04-09,2005,Year 2005,H1,Q2,April,Week 15,Saturday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,6
2005-04-10,2005,Year 2005,H1,Q2,April,Week 16,Sunday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,7
2005-04-11,2005,Year 2005,H1,Q2,April,Week 16,Monday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,1
2005-04-12,2005,Year 2005,H1,Q2,April,Week 16,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,2
2005-04-13,2005,Year 2005,H1,Q2,April,Week 16,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,3
2005-04-14,2005,Year 2005,H1,Q2,April,Week 16,Thursday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,4
2005-04-15,2005,Year 2005,H1,Q2,April,Week 16,Friday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,5
2005-04-16,2005,Year 2005,H1,Q2,April,Week 16,Saturday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,6
2005-04-17,2005,Year 2005,H1,Q2,April,Week 17,Sunday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,7
2005-04-18,2005,Year 2005,H1,Q2,April,Week 17,Monday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,1
2005-04-19,2005,Year 2005,H1,Q2,April,Week 17,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,2
2005-04-20,2005,Year 2005,H1,Q2,April,Week 17,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,3
2005-04-21,2005,Year 2005,H1,Q2,April,Week 17,Thursday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,4
2005-04-22,2005,Year 2005,H1,Q2,April,Week 17,Friday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,5
2005-04-23,2005,Year 2005,H1,Q2,April,Week 17,Saturday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,6
2005-04-24,2005,Year 2005,H1,Q2,April,Week 18,Sunday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,7
2005-04-25,2005,Year 2005,H1,Q2,April,Week 18,Monday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,1
2005-04-26,2005,Year 2005,H1,Q2,April,Week 18,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,2
2005-04-27,2005,Year 2005,H1,Q2,April,Week 18,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,3
2005-04-28,2005,Year 2005,H1,Q2,April,Week 18,Thursday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,4
2005-04-29,2005,Year 2005,H1,Q2,April,Week 18,Friday,2005,FiscalYear 2005,H1,Q2,Month 4,WorkDay,No,No Season,No Season,Spring/Back to School,4,5
2005-04-30,2005,Year 2005,H1,Q2,April,Week 18,Saturday,2005,FiscalYear 2005,H1,Q2,Month 4,WeekEnd,Yes,No Season,No Season,Spring/Back to School,4,6
2005-05-01,2005,Year 2005,H1,Q2,May,Week 19,Sunday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,7
2005-05-02,2005,Year 2005,H1,Q2,May,Week 19,Monday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,1
2005-05-03,2005,Year 2005,H1,Q2,May,Week 19,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,2
2005-05-04,2005,Year 2005,H1,Q2,May,Week 19,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,3
2005-05-05,2005,Year 2005,H1,Q2,May,Week 19,Thursday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,4
2005-05-06,2005,Year 2005,H1,Q2,May,Week 19,Friday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,5
2005-05-07,2005,Year 2005,H1,Q2,May,Week 19,Saturday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,6
2005-05-08,2005,Year 2005,H1,Q2,May,Week 20,Sunday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,7
2005-05-09,2005,Year 2005,H1,Q2,May,Week 20,Monday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,1
2005-05-10,2005,Year 2005,H1,Q2,May,Week 20,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,2
2005-05-11,2005,Year 2005,H1,Q2,May,Week 20,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,3
2005-05-12,2005,Year 2005,H1,Q2,May,Week 20,Thursday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,4
2005-05-13,2005,Year 2005,H1,Q2,May,Week 20,Friday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,5
2005-05-14,2005,Year 2005,H1,Q2,May,Week 20,Saturday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,6
2005-05-15,2005,Year 2005,H1,Q2,May,Week 21,Sunday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,7
2005-05-16,2005,Year 2005,H1,Q2,May,Week 21,Monday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,1
2005-05-17,2005,Year 2005,H1,Q2,May,Week 21,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,2
2005-05-18,2005,Year 2005,H1,Q2,May,Week 21,Wednesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,3
2005-05-19,2005,Year 2005,H1,Q2,May,Week 21,Thursday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,4
2005-05-20,2005,Year 2005,H1,Q2,May,Week 21,Friday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,5
2005-05-21,2005,Year 2005,H1,Q2,May,Week 21,Saturday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,6
2005-05-22,2005,Year 2005,H1,Q2,May,Week 22,Sunday,2005,FiscalYear 2005,H1,Q2,Month 5,WeekEnd,Yes,No Season,No Season,Tax Time/Summer,5,7
2005-05-23,2005,Year 2005,H1,Q2,May,Week 22,Monday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,1
2005-05-24,2005,Year 2005,H1,Q2,May,Week 22,Tuesday,2005,FiscalYear 2005,H1,Q2,Month 5,WorkDay,No,No Season,No Season,Tax Time/Summer,5,2
